#Most keys defined in the...\common folder;;;;;;;;;;;;;;
#buildings.txt;;;;;;;;;;;;;;
universal_weighted_voting_desc;Everyone is allowed to vote, but the rich men's votes are worth more.;Tout le monde peut voter, mais les votes des riches comptent davantage.;Jedermann darf wählen, aber die Stimmen reicher Männer zählen mehr.;;;;;;;;;;;
universal_voting;Universal;Scrutin universel;Universal;;;;;;;;;;;
universal_voting_l;Universal Voting;Droit de vote universel;Universalwahlen;;;;;;;;;;;
universal_voting_desc;Everyone is allowed to vote.;Tout le monde peut voter.;Alle dürfen wählen.;;;;;;;;;;;
upper_house_composition;Upper House;Chambre haute;Unterhaus;;;;;;;;;;;
party_appointed;Ruling Party Only;Parti dirigeant uniquement;Regierungspartei-exklusiv;;;;;;;;;;;
party_appointed_l;UH same as Ruling Party;Chambre haute identique au parti dirigeant;UH entspricht Regierungspartei;;;;;;;;;;;
party_appointed_desc;Only members of the ruling party with the same ideology can be appointed to represent the party in the Upper House.;Seuls les membres du parti dirigeant de même idéologie peuvent être nommés pour représenter le parti à la Chambre haute.;Nur Mitglieder der Regierungspartei, die derselben Ideologie anhängen, können zur Vertretung der Partei im Unterhaus ausgewählt werden.;;;;;;;;;;;
appointed;Appointed;Nommée;Ernennung;;;;;;;;;;;
appointed_l;Appointed UH;Chambre haute nommée;Ernanntes UH;;;;;;;;;;;
appointed_desc;Aristocrats or capitalists have been assigned seats in the Upper House by the leader of the country.;Le dirigeant du pays a attribué aux aristocrates ou aux capitalistes des sièges à la Chambre haute.;Aristokraten oder Kapitalisten wurden vom Anführer des Landes Sitze im Unterhaus zugeteilt.;;;;;;;;;;;
state_equal_weight;Two per State;Deux par État;Zwei pro Staat;;;;;;;;;;;
state_equal_weight_l;Two per state in UH;Égalité de tous les États à la Chambre haute;Alle Staate im UH gleich;;;;;;;;;;;
state_equal_weight_desc;Each state has two votes to appoint representatives to the Upper House.;Chaque État dispose de deux votes pour nommer les représentants de la Chambre haute.;Jeder Staat hat zwei Stimmen zur Ernennung von Unterhausvertretern.;;;;;;;;;;;
population_equal_weight;Based on Population;Selon la population;Bevölkerungsbasiert;;;;;;;;;;;
population_equal_weight_l;Population equal in UH;Égalité de la population à la Chambre haute;Bev. im UH gleich vertreten;;;;;;;;;;;
population_equal_weight_desc;Representatives are determined by the collected ideologies of the population.;Les idéologies de la population déterminent les représentants.;Die Vertreter werden anhand der in der Bevölkerung präsenten Ideologien bestimmt.;;;;;;;;;;;
voting_system;Voting System;Système de vote;Wahlsystem;;;;;;;;;;;
first_past_the_post;First Past the Post;Scrutin uninominal majoritaire à un tour;Mehrheitswahl;;;;;;;;;;;
first_past_the_post_l;First Past the Post;Scrutin uninominal majoritaire à un tour;Mehrheitswahl;;;;;;;;;;;
first_past_the_post_desc;The candidate with the most votes wins.;Le candidat qui obtient le plus de voix l'emporte.;Der Kandidat mit den meisten Stimmen gewinnt.;;;;;;;;;;;
jefferson_method;Jefferson Method;Méthode de Jefferson;Jefferson-Methode;;;;;;;;;;;
jefferson_method_l;Jefferson Method;Méthode de Jefferson;Jefferson-Methode;;;;;;;;;;;
jefferson_method_desc;The Jefferson Method is a highest averages method for allocating seats.;La méthode de Jefferson correspond à la méthode des moyennes les plus hautes pour attribuer des sièges.;Die Jefferson-Methode ist eine Methode der höchsten Querschnittswerte zur Zuteilung der Sitze.;;;;;;;;;;;
proportional_representation;Proportional;Proportionnelle;Proportional;;Proporcional;;;;;;;;;
proportional_representation_l;Proportional Representation;Représentation proportionnelle;Proportionale Repräsentation;;;;;;;;;;;
proportional_representation_desc;The percentage of votes that groups of candidates obtain in elections equals the percentage of seats they receive;Le pourcentage de voix que les groupes de candidats obtiennent lors des élections correspondent au pourcentage de sièges qu'ils reçoivent.;Der Prozentsatz an Stimmen, den Kandidatengruppen bei Wahlen erzielen, ist gleich dem Prozentsatz an Sitzen, den sie erhalten.;;;;;;;;;;;
public_meetings;Public Meetings;Réunions publiques;Öffentliche Versammlungen;;;;;;;;;;;
no_meeting;Not Allowed;Interdites;Nicht gestattet;;;;;;;;;;;
no_meeting_l;Outlaw Public Meetings;Interdire les réunions publiques;Öffentliche Versammlungen ächten;;;;;;;;;;;
no_meeting_desc;Public meetings are prohibited.;Les réunions publiques ne sont pas autorisées.;Öffentliche Versammlungen sind verboten.;;;;;;;;;;;
yes_meeting;Allowed;Autorisées;Gestattet;;;;;;;;;;;
yes_meeting_l;Allow Public Meetings;Autoriser les réunions publiques;Öffentliche Versammlungen gestatten;;;;;;;;;;;
yes_meeting_desc;Public meetings and rallies are allowed.;Les réunions publiques et les rassemblements sont autorisés.;Öffentliche Versammlungen und Kundgebungen sind gestattet.;;;;;;;;;;;
press_rights;Press Rights;Droits de la presse;Pressefreiheit;;;;;;;;;;;
state_press;State Press Only;Presse d'État uniquement;Nur Staatspresse;;;;;;;;;;;
state_press_l;State Press Only;Presse d'État uniquement;Nur Staatspresse;;;;;;;;;;;
state_press_desc;Only state-controlled press is allowed.;Seule la presse contrôlée par l'État est autorisée.;Nur staatlich-kontrollierte Presse ist gestattet.;;;;;;;;;;;
censored_press;Censored Press;Presse censurée;Pressezensur;;;;;;;;;;;
censored_press_l;Censored Press;Presse censurée;Pressezensur;;;;;;;;;;;
censored_press_desc;While allowed a relative amount of freedom, the press is still censored by the government.;La liberté de la presse est autorisée, mais censurée par le gouvernement.;Freie Presse ist gestattet, wird aber von der Regierung zensiert.;;;;;;;;;;;
free_press;Free Press;Liberté de la presse;Freie Presse;;;;;;;;;;;
free_press_l;Free Press;Presse libre;Freie Presse;;;;;;;;;;;
free_press_desc;Free press is allowed without interference from the government.;La liberté de la presse est autorisée, sans interférence du gouvernement.;Freie Presse wird ohne Eingriffe von Seiten der Regierung gestattet.;;;;;;;;;;;
trade_unions;Trade Unions;Syndicats;Gewerkschaften;;;;;;;;;;;
no_trade_unions;Illegal;Interdits;Illegal;;;;;;;;;;;
no_trade_unions_l;No Trade Unions;Aucun syndicat;Keine Gewerkschaften;;;;;;;;;;;
no_trade_unions_desc;No trade unions are allowed.;Aucun syndicat n'est autorisé.;Gewerkschaften werden nicht gestattet.;;;;;;;;;;;
state_controlled;State Controlled;Contrôlés par l'État;Staatlich kontrolliert;;;;;;;;;;;
state_controlled_l;State Controlled Trade Unions;Syndicats contrôlés par l'État;Staatlich kontrollierte Gewerkschaften;;;;;;;;;;;
state_controlled_desc;The government controls the trade unions.;Le gouvernement contrôle les syndicats.;Die Gewerkschaften werden von der Regierung kontrolliert.;;;;;;;;;;;
non_socialist;Non-Socialist Allowed;Syndicats non socialistes autorisés;Nichtsozialistische Gewerkschaften sind gestattet.;;;;;;;;;;;
non_socialist_l;Non Socialist Trade Unions;Syndicats non socialistes;Keine sozialistischen Gewerkschaften;;;;;;;;;;;
non_socialist_desc;Non-Socialist trade unions are allowed.;Les syndicats non socialistes sont autorisés.;Nicht-sozialistische Gewerkschaften werden nicht gestattet.;;;;;;;;;;;
all_trade_unions;All Allowed;Autorisés;Alle gestattet;;;;;;;;;;;
all_trade_unions_l;All Trade Unions;Tous les syndicats;Alle Gewerkschaften;;;;;;;;;;;
all_trade_unions_desc;All trade unions are allowed.;Tous les syndicats sont autorisés.;Alle Gewerkschaften werden gestattet.;;;;;;;;;;;
political_parties;Political Parties;Partis politiques;Politische Parteien;;;;;;;;;;;
underground_parties;Only Underground;Clandestinement uniquement;Nur Untergrund;;;;;;;;;;;
underground_parties_l;Outlaw Political Parties;Autoriser les partis politiques;Politische Parteien ächten;;;;;;;;;;;
underground_parties_desc;The government actively prevents other parties from publicly campaigning for votes.;Le gouvernement empêche activement les autres partis de faire publiquement campagne.;Die Regierungsaktivitäten hindern andere Parteien daran, öffentlich um Stimmen zu werben.;;;;;;;;;;;
harassment;Harassment;Harcèlement;Schikanen;;;;;;;;;;;
harassment_l;Harassed Parties.;Partis harcelés.;Schikanierte Parteien.;;;;;;;;;;;
harassment_desc;The ruling party harasses people into voting for them.;Le parti dirigeant harcèle la population pour qu'elle vote pour lui.;Die Regierungspartei schikaniert die Bevölkerung, für sie zu wählen.;;;;;;;;;;;
gerrymandering;Gerrymandering;Charcutage électoral;Wahlkreisschiebungen;;;;;;;;;;;
gerrymandering_l;Gerrymandering;Charcutage électoral;Wahlkreisschiebungen;;;;;;;;;;;
gerrymandering_desc;Electoral district or constituency boundaries are deliberately modified for electoral purposes, meaning the votes for the ruling party are worth more. The ruling party can use gerrymandering in order to get people to vote for them.;Les circonscriptions électorales sont délibérément modifiées à des fins électorales, ce qui signifie que les voix pour le parti dirigeant comptent davantage. Le parti dirigeant peut recourir au charcutage électoral pour que la population vote pour lui.;Wahlkreise oder -bezirke werden für Wahlen nach Belieben modifiziert. Als Resultat daraus zählen die Stimmen für die Regierungspartei mehr. Die Regierungspartei kann Wahlkreisschiebungen einsetzen, um die Bevölkerung dazu zu bewegen, für sie zu stimmen.;;;;;;;;;;;
non_secret_ballots;Non-Secret Ballots;Bulletins non secrets;Öffentliche Wahlgänge;;;;;;;;;;;
non_secret_ballots_l;Non Secret Ballots;Bulletins non secrets;Öffentliche Wahlgänge;;;;;;;;;;;
non_secret_ballots_desc;The voter's choices are non-confidential. The ruling party knows who the people vote for and can use pressure in order to get the people to vote for them.;Le vote des électeurs n'est pas confidentiel. Le parti dirigeant sait pour qui vote la population et peut faire pression pour l'inciter à voter pour lui.;Die Entscheidungen der Wähler sind nicht vertraulich. Die Regierungspartei weiß, wen die Bevölkerung wählt und kann so Druck auf die Bevölkerung ausüben, für sie zu stimmen.;;;;;;;;;;;
secret_ballots;Secret Ballots;Bulletins secrets;Nicht-öffentliche Wahlgänge;;;;;;;;;;;
secret_ballots_l;Secret Ballots;Bulletins secrets;Nicht-öffentliche Wahlgänge;;;;;;;;;;;
secret_ballots_desc;The voter's choices are confidential in order to prevent others from influencing the voter by bribery or intimidation. The ruling party can't affect the way people votes.;Le vote des électeurs est confidentiel pour ne pas qu'ils soient influencés (corruption ou intimidation). Le parti dirigeant ne peut pas affecter le vote des électeurs.;Die Entscheidungen der Wähler werden vertraulich behandelt, um Bestechungen oder Einschüchterungen zu verhindern. Die Regierungspartei kann die Stimmabgaben der Bevölkerung nicht beeinflussen.;;;;;;;;;;;
immigration_policy;Immigration Policy;Immigration Policy;Immigration Policy;;Immigration Policy;;;;;;;;;
nobody_gets_out;Nobody Gets Out;Charcutage électoral;Wahlkreisschiebungen;;División fraudulenta de distritos;;;;;;;;;
nobody_gets_out_l;Nobody Gets Out;Charcutage électoral;Wahlkreisschiebungen;;División fraudulenta de distritos;;;;;;;;;
nobody_gets_out_desc;Nobody gets out of here alive. Not legally, anyway.;Les circonscriptions électorales sont délibérément modifiées à des fins électorales, ce qui signifie que les voix pour le parti dirigeant comptent davantage. Le parti dirigeant peut recourir au charcutage électoral pour que la population vote pour lui.;Wahlkreise oder -bezirke werden für Wahlen nach Belieben modifiziert. Als Resultat daraus zählen die Stimmen für die Regierungspartei mehr. Die Regierungspartei kann Wahlkreisschiebungen einsetzen, um die Bevölkerung dazu zu bewegen, für sie zu stimmen.;;Se modifican de manera deliberada los distritos o las fronteras electorales con fines interesados, lo que significa que los votos para el partido gobernante tienen más valor. El partido gobernante puede utilizar esta práctica para conseguir que la gente lo vote.;;;;;;;;;
movement_nobody_gets_out;Movement for Immigration Restriction;;;;;;;;;;;;;
quota_immigration;Quota Immigration Policy;Bulletins non secrets;Öffentliche Wahlgänge;;Voto no secreto;;;;;;;;;
quota_immigration_l;Quota Immigration Policy;Bulletins non secrets;Öffentliche Wahlgänge;;Voto no secreto;;;;;;;;;
quota_immigration_desc;The government sets quotas and accepts only educated immigrants.;Le vote des électeurs n'est pas confidentiel. Le parti dirigeant sait pour qui vote la population et peut faire pression pour l'inciter à voter pour lui.;Die Entscheidungen der Wähler sind nicht vertraulich. Die Regierungspartei weiß, wen die Bevölkerung wählt und kann so Druck auf die Bevölkerung ausüben, für sie zu stimmen.;;El voto no es secreto. El partido gobernante sabe a quién vota la gente y puede presionar a la población con fines electorales.;;;;;;;;;
movement_quota_immigration;Movement for Immigration Reform;;;;;;;;;;;;;
open_immigration;Open Immigration;Bulletins secrets;Nicht-öffentliche Wahlgänge;;Voto secreto;;;;;;;;;
open_immigration_l;Open Immigration;Bulletins secrets;Nicht-öffentliche Wahlgänge;;Voto secreto;;;;;;;;;
open_immigration_desc;Our country accepts all comers with open arms.;Le vote des électeurs est confidentiel pour ne pas qu'ils soient influencés (corruption ou intimidation). Le parti dirigeant ne peut pas affecter le vote des électeurs.;Die Entscheidungen der Wähler werden vertraulich behandelt, um Bestechungen oder Einschüchterungen zu verhindern. Die Regierungspartei kann die Stimmabgaben der Bevölkerung nicht beeinflussen.;;La decisión de los votantes es confidencial, para impedir que alguien intimide o soborne a los votantes. El partido gobernante no puede influir en los votos de la gente.;;;;;;;;;
movement_open_immigration;Movement for Immigration Reform;;;;;;;;;;;;;
naturalization;Naturalization;;;;;;;;;;;;;
naturalization_l;Naturalization;;;;;;;;;;;;;
naturalization_desc;It is possible for immigrants not born in the country to become full citizens, provided they have been residents for an extended period.;;;;;;;;;;;;;
movement_naturalization;Movement for Immigration Reform;;;;;;;;;;;;;
conscription;Conscription;Conscription;Conscription;;Conscription;;;;;;;;;
mandatory_service;Mandatory Service;Mandatory Service;Mandatory Service;;Mandatory Service;;;;;;;;;
mandatory_service_l;Mandatory Service;Mandatory Service;Mandatory Service;;Mandatory Service;;;;;;;;;
mandatory_service_desc;All adult males must serve in the military.;All adult males must serve in the military.;All adult males must serve in the military.;;All adult males must serve in the military.;;;;;;;;;
movement_mandatory_service;'Everyone Must Serve!' Movement;;;;;;;;;;;;;
four_year_draft;Four Year Draft;Four Year Draft;Four Year Draft;;Four Year Draft;;;;;;;;;
four_year_draft_l;Four Year Draft;Four Year Draft;Four Year Draft;;Four Year Draft;;;;;;;;;
four_year_draft_desc;Conscripts are drafted for four years.;Conscripts are drafted for four years.;Conscripts are drafted for four years.;;Conscripts are drafted for four years.;;;;;;;;;
movement_four_year_draft;Movement for Draft Reform;;;;;;;;;;;;;
two_year_draft;Two Year Draft;Two Year Draft;Two Year Draft;;Two Year Draft;;;;;;;;;
two_year_draft_l;Two Year Draft;Two Year Draft;Two Year Draft;;Two Year Draft;;;;;;;;;
two_year_draft_desc;Conscripts are drafted for two years.;Conscripts are drafted for two years.;Conscripts are drafted for two years.;;Conscripts are drafted for two years.;;;;;;;;;
movement_two_year_draft;Movement for Draft Reform;;;;;;;;;;;;;
one_year_draft;One Year Draft;One Year Draft;One Year Draft;;One Year Draft;;;;;;;;;
one_year_draft_l;One Year Draft;One Year Draft;One Year Draft;;One Year Draft;;;;;;;;;
one_year_draft_desc;Conscripts are drafted for one year.;Conscripts are drafted for one year.;Conscripts are drafted for one year.;;Conscripts are drafted for one year.;;;;;;;;;
movement_one_year_draft;Movement for Draft Reform;;;;;;;;;;;;;
no_draft;No Draft;No Draft;No Draft;;No Draft;;;;;;;;;
no_draft_l;No Draft;No Draft;No Draft;;No Draft;;;;;;;;;
no_draft_desc;No conscription.;No conscription.;No conscription.;;No conscription.;;;;;;;;;
movement_no_draft;Military Service Abolitionists;;;;;;;;;;;;;
minorities_reform;Minorities;Minorities;Minorities;;Minorities;;;;;;;;;
oppression;Oppression;Oppression;Oppression;;Oppression;;;;;;;;;
oppression_l;Oppression;Oppression;Oppression;;Oppression;;;;;;;;;
oppression_desc;Racism is the norm and minorities are constrained by blatant legal requirements, relegating them to second-class status.;Oppression;Oppression;;Oppression;;;;;;;;;
movement_oppression;Cultural Purity Movement;;;;;;;;;;;;;
limited;Limited Minority Rights;;;;;;;;;;;;;
limited_l;Limited Minority Rights;;;;;;;;;;;;;
limited_desc;Minorities are protected by a limited array of laws, but given far less rights than full citizens.;;;;;;;;;;;;;
movement_limited;Minority Rights Movement;;;;;;;;;;;;;
protected;Protected;Protected;Protected;;Protected;;;;;;;;;
protected_l;Protected;Protected;Protected;;Protected;;;;;;;;;
protected_desc;Minorities are specially protected groups under the law.;Protected;Protected;;Protected;;;;;;;;;
movement_protected;Minority Rights Movement;;;;;;;;;;;;;
social_reforms;Social Reforms;Réformes sociales;Sozialreformen;;;;;;;;;;;
wage_reform;Minimum Wage;Salaire minimum;Mindestlohn;;;;;;;;;;;
no_minimum_wage;No Minimum Wage;Aucun salaire minimum;Kein Mindestlohn;;;;;;;;;;;
no_minimum_wage_l;No Min.Wage;Aucun salaire min.;Kein Mindestlohn;;;;;;;;;;;
