98411.A;It was good while it lasted;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AMA12.T;Spanish Demands;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AMA12.D;The Spanish government has asked us to relinquish our control of Para. Should we choose not to give it up, it will mean war....;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
98412.A;We don't have a lot of choices...;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
98412.B;Let them come!;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AMA13.T;Para regained;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AMA13.D;Amazonie has bowed before our demands!;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
98413.A;Glory to Espana!;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AMA14.T;Para?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AMA14.D;While we were rejoicing over our total victory over the insurgents, some our councillors have reminded us of Para. The region of Para was nominally under our protection for decades but the Amazonian settlers have profited from the war to seize it. It is worthless lands ans swamps but by principle we should ask a compensation. We could threaten to go to war or ask a monetary compensation to finance our war debts... ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
98414.A;We will settle the matter if they pay us;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
98414.B;Send this message: 'Para or War' ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
98414.C;Why bother about some inhospitable jungle?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AMA15.T;Amazonian crimes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AMA15.D;"We have faced many hardships: we vainquished Spain definitely and proved to the world that we stand united and it is now time to settle the conflict with Amazonia. They seized Para during the war, thinking no one would try to take it but they are wrong, we did not forget and foremost, we didn't forgive. We can ask them to give up the area or we could settle for some monetary 'reparations'";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
98415.A;We will settle the matter if they pay us;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
98415.B;Send this message: 'Para or War' ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
98415.C;Why bother about some inhospitable jungle?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AMA16.T;Colombian envoy;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AMA16.D;"The Colombian delegates have approached us about our seizure of Para. They are willing to drop the matter if we pay them 'reparations' on a 12year basis. What do we do? ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
98416.A;Just some money? Take the chance while they are asking!;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
98416.B;And what will they do if we don't?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AMA17.T;Amazonian Response;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AMA17.D;The Amazonian have accepted. The first payment is fulfilled.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
98417.A;I think we have made a great deal gentlemen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AMA18.T;Amazonian Response;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AMA18.D;The Amazonian have refused to pay reparations. There is only one solution: war.  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
98418.A;They want war? They'll get war!;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AMA19.T;Second payment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AMA19.D;"It is the time to pay our 'reparations' to Gran Colombia";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
98419.A;Send the money;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AMA20.T;Reparations for Para;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AMA20.D;The Amazonian government has sent us another payment of the reparations;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
98420.A;Always a pleasure...;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AMA21.T;Third payment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AMA21.D;We have to pay for the reparations. Just one more time and it will be finished;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
98421.A;Send the money;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
98422.A;At last;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AMA23.T;Last payment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AMA23.D;Amazonie has paid all the reparations;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
98423.A;It was good while it lasted;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AMA24.T;Colombian Demands;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AMA24.D;The Colombian government has asked us to relinquish our control of Para. Should we choose not to give it up, it will mean war....;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
98424.A;We don't have a lot of choices...;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
98424.B;Let them come!;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AMA25.T;Para regained;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AMA25.D;Amazonie has bowed before our demands!;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
98425.A;Glory to Gran Columbia!;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AMA26.T;Chaos in the Federation;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AMA26.D;The loss of Atlantia has created a great distrust between the government and the military, the latter accusing the former of having betrayed them and that victory was near. A circle of officer has decided to end the democratic rabble and plan to take the Parliament by force.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
98426.A;The military take control of the Parliament;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
98426.B;The government vanquishes the high-command;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AMA27.T;Talks of secession in Equinoxia ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AMA27.D;The Equinoxian republic has always been distinct inside the Federation and also one of the most democratic. The end of the democracy in Amazonia has made some Equinoxian think about secession and it seems their movement spread to Vaura...;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
98427.A;We'll have to watch them closely... ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AMA28.T;The Cappadocian Revolution!;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AMA28.D;The Equinoxian patriots have risen against the government decided to leave the Federation to create their own democratic state!;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
98428.A;We will crush them!;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AMA29.T;Seizure of Port-Liberté;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AMA29.D;With the capture of the military commandment, the war has been declared null and void. The Equinoxian leader has proclaimed the Federation and reestablished the Constitution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
98429.A;We shall reestablish democracy in Amazonia! ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AMA30.T;End of the Civil War;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AMA30.D;With the last strongholds taken by our forces, Amazonia is once again one and indivisible!;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
98430.A;We are united once again! ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AMA31.T;The return of the king?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AMA31.D;Many in the military are supporters of a monarchy in Amazonia. Should we start looking for a monarch?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
98431.A;It is time for the return of the king. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
98431.B;We are fine as we are thanks ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AMA32.T;Homeland or New World?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AMA32.D;Two possible monarchs were found. The Duke of Brittany and the duke of Leonie. Choosing one will also guide our external policy;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
98432.A;The duke of Brittany will become king ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
98432.B;The duke of Leonie will become king;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AMA33.T;The Constitution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AMA33.D;The new monarch must choose how he will rule (or not).;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
98433.A;The military knows best how to rule this country;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
98433.B;Some reforms are needed;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
98433.C;The king reigns but does not rule;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LOTNANfriendshipsetup5name;Beornian-Lotharian summit;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LOTNANfriendshipsetup5desc;With the inauguration of Edward IV's statue in Fort Lothar, we see an opportunity to bring Beornia and Lotharingia even closer. We could invite King Edward for a summit to cement our friendship for the years to come.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LOTNANfriendshipsetup5opt1;We can only gain from this.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LOTNANfriendshipsetup5opt2;This is not really necessary.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LOTNANfriendshipsetup1name;Lotharingia calls for Summit;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LOTNANfriendshipsetup1desc;Lotharingia has paid tribute to our king Edward IV in their capital, Fort Lothere. Seeing as a fit opportunity, they called for a meeting with our government and our king, and presented us with the possibility of a friendship agreement. We could benefit a lot from their alliance, but we must consider well.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LOTNANfriendshipsetup1opt1;Beornians and Lotharians have always be friends.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LOTNANfriendshipsetup1opt2;While they are ouf friends, we have our divides.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LOTNANfriendshipsetup1opt3;Attend the summit, but keep our distance.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LOTNANfriendshipsetup2name;Beornian-Lotharian summit a success!;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LOTNANfriendshipsetup2desc;The tribute to King Edward IV has gone smoothly, and the summit was a success. Our friends in the south have accepted our proposal of a friendship agreement. Let the world know we are brothers, and Ameriga tremble before our power.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
775401.A;YES!;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LOTNANfriendshipsetup3name;Beornian-Lotharian summit stalled.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LOTNANfriendshipsetup3desc;The tribute to King Edward IV was appreciated and the summit was amiable, but in the end there were differences that still kept us apart. And alliance was signed, but nothing further than that.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
775402.A;Well, damn.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LOTNANfriendshipsetup4name;Our approach has failed!.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LOTNANfriendshipsetup4desc;The tribute to King Edward IV was appreciated, but the Beornian delegation was uninterested in further commitment towards an alliance.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
775403.A;So much potential wasted.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LOTNANfriendshipevent1name;Beornian relations are cooling;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LOTNANfriendshipevent1desc;Our relations with Beornia have been cooling for some time. By evoking our Friendship agreement, we can come closer again.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LOTNANfriendshipevent1opt1;Do it immediately.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LOTNANfriendshipevent1opt2;Try talking to their ambassador, but there's no need for a fuss over this.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LOTNANfriendshipevent1opt3;In fact, we rather let them cool down a bit.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LOTNANfriendshipevent1opt4;This non-sense has gone too far.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LOTNANfriendshipevent2name;Beornian relations are cooling;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LOTNANfriendshipevent2desc;Our relations with Beornia have been cooling for some time. By evoking our Friendship agreement, we can come closer again.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LOTNANfriendshipevent2opt1;Do it immediately.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LOTNANfriendshipevent2opt2;Try talking to their ambassador, but there's no need for a fuss over this.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LOTNANfriendshipevent2opt3;In fact, we rather let them cool down a bit.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LOTNANfriendshipevent2opt4;This non-sense has gone too far.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LOTNANfriendshipevent3name;Our nations are growing apart.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LOTNANfriendshipevent3desc;For too long, our nations have grown apart from our friendship. Now it is time we accept the divide between us is too big to heal.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LOTNANfriendshipevent3opt1;Just like my ex-girlfriend.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LOTNANfriendshipevent4name;Our nations are growing apart.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LOTNANfriendshipevent4desc;For too long, our nations have grown apart from our friendship. Now it is time we accept the divide between us is too big to heal.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LOTNANfriendshipevent4opt1;Just like my ex-wife.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
kingstatueevent1name;Edward IV's Statue vandalized!;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
kingstatueevent1desc;Rebels in control of Fort Lothere have vandalized the monument to King Edward IV.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
kingstatueevent1opt1;Damn peasa- I mean, citizens.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
kingstatueevent2name;Repairing King Edward IV's statue.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
kingstatueevent2desc;The angry mob that stormed Fort Lothere brutalised the monument to King Edward IV, toppling it down, decapitating it and throwing the head down the glacis of the fort. It is a matter of stage prestige to repair the statue... but it won't be cheap.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
kingstatueevent2opt;We must bite the bullet.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ameriga1.T;Occupation of the Southern Andes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ameriga1.D;Incan forces have occupied more of the lands in the southern continent. The pacification of the local natives is ongoing.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
97080.A;For the glory of the Inca!;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ameriga2.T;Conquest of the Desert;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ameriga2.D;Beornian forces have occupied more of the lands in the southern continent. The pacification of the local natives is ongoing.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
97085.A;For the glory of Beornia!;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTNAME97086;Pacification of $PROVINCENAME$;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTDESC97086;Through the judicious use of force, confiscation of native lands and the introduction of roads and other vestiges of civilization, conditions in $PROVINCENAME$ have greatly improved. The native patagonians are proving to be contentious, but their numbers are far too few for us to worry about.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
97086.A;Excellent!;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ameriga3.T;Exploration of the Amazonas;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ameriga3.D;Our forces have occupied more of the lands in the Amazonas. The pacification of the local natives is ongoing.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
97087.A;Good;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ameriga4.T;Amazonian Destiny;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ameriga4.D;The partisans of Amazonian expansionnism are divided into three camps. First are those who only want to annex the border states near la Cote du Café. But some are also wanting to take all lands where Guarani people inhabit and integrate them into our society to balance the power of the Lotharians in the area. And eventually a fringe minority calls for the complete annexation of Lotharingia to form a greater Amerigan Federation. But should we declare such an ambition, the greater powers would surely act against us....;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
97090.A;We will only take the states along our border;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
97090.B;We will free the Guaranis;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
97090.C;We will create a greater Amerigan Federation;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ameriga5.T;The Congress of Nouvelle-Amsterdam;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ameriga5.D;We have assembled the representatives of the newly acquired states of the Federation to discuss their integration into our state. What will they decide?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
97091.A;What will they decide;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ameriga6.T;The Congress of Nouvelle-Amsterdam;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ameriga6.D;We have assembled the representatives of the newly acquired states of the Federation to discuss their integration into our state. What will they decide?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
97092.A;What will they decide? ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ameriga7.T;The Congress of Fort Lothère;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ameriga7.D;We have assembled the representatives of the newly acquired states of the Federation to discuss their integration into our state. What will they decide?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
97093.A;What will they decide?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ameriga8.T;The Question of Government;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ameriga8.D;With the reconquest of Atlantia, some people are beginning to argue about the benevolent rule of Denis d'Aigle. Our president has now announced that he will be making a speech to answer the question of the nature of our government.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
