gtfo_EST_title;Grant Estland Independence;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_EST_desc;We've had a good run, but it's time to end our rulership of Estland.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_HUN_title;Grant Hungary Independence;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_HUN_desc;We've had a good run, but it's time to end our rulership of Hungary.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_LIT_title;Grant Lithuania Independence;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_LIT_desc;We've had a good run, but it's time to end our rulership of Lithuania.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_LAT_title;Grant Livonia Independence;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_LAT_desc;We've had a good run, but it's time to end our rulership of Livonia.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_POL_title;Grant Poland Independence;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_POL_desc;We've had a good run, but it's time to end our rulership of Poland.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_SLV_title;Grant Slovakia Independence;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_SLV_desc;We've had a good run, but it's time to end our rulership of Slovakia.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_SWI_title;Grant Switzerland Independence;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_SWI_desc;We've had a good run, but it's time to end our rulership of Switzerland.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_RUT_title;Grant Ruthenia Independence;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_RUT_desc;We've had a good run, but it's time to end our rulership of Ruthenia.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_CRE_title;Grant Crete Independence;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_CRE_desc;We've had a good run, but it's time to end our rulership of Crete.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_UKR_title;Grant Kiev Independence;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_UKR_desc;We've had a good run, but it's time to end our rulership of Kiev.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_SIE_title;Grant Transylvania Independence;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_SIE_desc;We've had a good run, but it's time to end our rulership of Transylvania.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_NOV_title;Grant Novgorod Independence;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_NOV_desc;We've had a good run, but it's time to end our rulership of Novgorod.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_MUS_title;Grant Muscovy Independence;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_MUS_desc;We've had a good run, but it's time to end our rulership of Muscovy.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_BLR_title;Grant Byelorussia Independence;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_BLR_desc;We've had a good run, but it's time to end our rulership of Byelorussia.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_PSV_title;Grant Pskov Independence;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_PSV_desc;We've had a good run, but it's time to end our rulership of Pskov.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_KRL_title;Grant Courland Independence;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_KRL_desc;We've had a good run, but it's time to end our rulership of Courland.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_ASK_title;Grant Xacitarxan Independence;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_ASK_desc;We've had a good run, but it's time to end our rulership of Xacitarxan.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_ALB_title;Grant Albania Independence;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_ALB_desc;We've had a good run, but it's time to end our rulership of Albania.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_BOS_title;Grant Bosnia-Herzegovina Independence;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_BOS_desc;We've had a good run, but it's time to end our rulership of Bosnia-Herzegovina.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_BUL_title;Grant Bulgaria Independence;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_BUL_desc;We've had a good run, but it's time to end our rulership of Bulgaria.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_CRO_title;Grant Illyria Independence;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_CRO_desc;We've had a good run, but it's time to end our rulership of Illyria.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_CYP_title;Grant Cyprus Independence;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_CYP_desc;We've had a good run, but it's time to end our rulership of Cyprus.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_GRE_title;Grant Greece Independence;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_GRE_desc;We've had a good run, but it's time to end our rulership of Greece.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_MOL_title;Grant Moldavia Independence;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_MOL_desc;We've had a good run, but it's time to end our rulership of Moldavia.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_MON_title;Grant Montenegro Independence;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_MON_desc;We've had a good run, but it's time to end our rulership of Montenegro.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_ROM_title;Grant Romania Independence;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_ROM_desc;We've had a good run, but it's time to end our rulership of Romania.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_SER_title;Grant Serbia Independence;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_SER_desc;We've had a good run, but it's time to end our rulership of Serbia.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_SLO_title;Grant Slovenia Independence;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_SLO_desc;We've had a good run, but it's time to end our rulership of Slovenia.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_WAL_title;Grant Wallachia Independence;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_WAL_desc;We've had a good run, but it's time to end our rulership of Wallachia.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_YUG_title;Grant Yugoslavia Independence;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_YUG_desc;We've had a good run, but it's time to end our rulership of Yugoslavia.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_MAC_title;Grant Macedonia Independence;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_MAC_desc;We've had a good run, but it's time to end our rulership of Macedonia.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_SLA_title;Grant Slavonia Independence;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_SLA_desc;We've had a good run, but it's time to end our rulership of Slavonia.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_BAD_title;Grant Baden Independence;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_BAD_desc;We've had a good run, but it's time to end our rulership of Baden.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_BAV_title;Grant Bavaria Independence;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_BAV_desc;We've had a good run, but it's time to end our rulership of Bavaria.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_BEG_title;Grant Berg Independence;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_BEG_desc;We've had a good run, but it's time to end our rulership of Berg.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_BRA_title;Grant Braunschweig Independence;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_BRA_desc;We've had a good run, but it's time to end our rulership of Braunschweig.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_BRE_title;Grant Bremen Independence;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_BRE_desc;We've had a good run, but it's time to end our rulership of Bremen.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_BRN_title;Grant Brandenburg Independence;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_BRN_desc;We've had a good run, but it's time to end our rulership of Brandenburg.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_CAE_title;Grant the Elbian Confederation  Independence;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_CAE_desc;We've had a good run, but it's time to end our rulership of the Elbian Confederation.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_FRI_title;Grant East Frisia Independence;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_FRI_desc;We've had a good run, but it's time to end our rulership of East Frisia.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_FRM_title;Grant Frankfurt am Main Independence;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_FRM_desc;We've had a good run, but it's time to end our rulership of Frankfurt am Main.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_HAN_title;Grant Hanover Independence;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_HAN_desc;We've had a good run, but it's time to end our rulership of Hanover.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_HEK_title;Grant Hesse-Kassel Independence;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_HEK_desc;We've had a good run, but it's time to end our rulership of Hesse-Kassel.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_HES_title;Grant Hesse-Darmstadt Independence;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_HES_desc;We've had a good run, but it's time to end our rulership of Hesse-Darmstadt.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_HOL_title;Grant Holstein Independence;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_HOL_desc;We've had a good run, but it's time to end our rulership of Holstein.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_LIP_title;Grant Lippe-Detmold Independence;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_LIP_desc;We've had a good run, but it's time to end our rulership of Lippe-Detmold.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_MNR_title;Grant Munster Independence;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_MNR_desc;We've had a good run, but it's time to end our rulership of Munster.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_NAS_title;Grant Nassau Independence;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_NAS_desc;We've had a good run, but it's time to end our rulership of Nassau.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_NGF_title;Grant the League of Berlin Independence;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_NGF_desc;We've had a good run, but it's time to end our rulership of the League of Berlin.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_OLD_title;Grant Oldenburg Independence;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_OLD_desc;We've had a good run, but it's time to end our rulership of Oldenburg.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_POM_title;Grant Pomerania Independence;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_POM_desc;We've had a good run, but it's time to end our rulership of Pomerania.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_RHI_title;Grant Rhineland Independence;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_RHI_desc;We've had a good run, but it's time to end our rulership of Rhineland.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_SAL_title;Grant Salzburg Independence;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_SAL_desc;We've had a good run, but it's time to end our rulership of Salzburg.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_SAX_title;Grant Saxony Independence;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_SAX_desc;We've had a good run, but it's time to end our rulership of Saxony.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_SCH_title;Grant Schleswig Independence;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_SCH_desc;We've had a good run, but it's time to end our rulership of Schleswig.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_SGF_title;Grant the Danubian Confederation Independence;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_SGF_desc;We've had a good run, but it's time to end our rulership of the Danubian Confederation.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_SIL_title;Grant Silesia Independence;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_SIL_desc;We've had a good run, but it's time to end our rulership of Silesia.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_THU_title;Grant Thuringia Independence;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_THU_desc;We've had a good run, but it's time to end our rulership of Thuringia.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_TIR_title;Grant Tyrol Independence;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_TIR_desc;We've had a good run, but it's time to end our rulership of Tyrol.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_WES_title;Grant Westphalia Independence;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_WES_desc;We've had a good run, but it's time to end our rulership of Westphalia.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_WUR_title;Grant Württemberg Independence;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_WUR_desc;We've had a good run, but it's time to end our rulership of Württemberg.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_SIB_title;Grant Sibir Independence;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_SIB_desc;We've had a good run, but it's time to end our rulership of Sibir.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_TSS_title;Grant Trans-Siberia Independence;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_TSS_desc;We've had a good run, but it's time to end our rulership of Trans-Siberia.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_YKT_title;Grant Yakutia Independence;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_YKT_desc;We've had a good run, but it's time to end our rulership of Yakutia.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_ALH_title;Grant Al Haasa Independence;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_ALH_desc;We've had a good run, but it's time to end our rulership of Al Haasa.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_UAR_title;Grant the United Arab Republic Independence;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_UAR_desc;We've had a good run, but it's time to end our rulership of the United Arab Republic.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_JOR_title;Grant Jordan Independence;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_JOR_desc;We've had a good run, but it's time to end our rulership of Jordan.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_MGH_title;Grant Maghreb Independence;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_MGH_desc;We've had a good run, but it's time to end our rulership of Maghreb.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_PLS_title;Grant Al-Quds Independence;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_PLS_desc;We've had a good run, but it's time to end our rulership of Al-Quds.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_SYR_title;Grant Syria Independence;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_SYR_desc;We've had a good run, but it's time to end our rulership of Syria.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_KZH_title;Grant Kazakhstan Independence;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_KZH_desc;We've had a good run, but it's time to end our rulership of Kazakhstan.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_TJK_title;Grant Tajikistan Independence;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_TJK_desc;We've had a good run, but it's time to end our rulership of Tajikistan.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_UGH_title;Grant Uyghuristan Independence;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_UGH_desc;We've had a good run, but it's time to end our rulership of Uyghuristan.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_TKS_title;Grant Turania Independence;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_TKS_desc;We've had a good run, but it's time to end our rulership of Turania.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_ERI_title;Grant Eritrea Independence;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_ERI_desc;We've had a good run, but it's time to end our rulership of Eritrea.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_KUR_title;Grant Kurdistan Independence;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_KUR_desc;We've had a good run, but it's time to end our rulership of Kurdistan.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_CHG_title;Grant the Dzungar Khanate Independence;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_CHG_desc;We've had a good run, but it's time to end our rulership of the Dzungar Khanate.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_ABU_title;Grant Abu Dhabi Independence;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_ABU_desc;We've had a good run, but it's time to end our rulership of Abu Dhabi.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_AFG_title;Grant Afghanistan Independence;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_AFG_desc;We've had a good run, but it's time to end our rulership of Afghanistan.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_ARM_title;Grant Armenia Independence;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_ARM_desc;We've had a good run, but it's time to end our rulership of Armenia.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_AZB_title;Grant Azerbaijan Independence;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_AZB_desc;We've had a good run, but it's time to end our rulership of Azerbaijan.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_GEO_title;Grant Georgia Independence;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_GEO_desc;We've had a good run, but it's time to end our rulership of Georgia.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_HDJ_title;Grant Hedjaz Independence;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_HDJ_desc;We've had a good run, but it's time to end our rulership of Hedjaz.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_IRQ_title;Grant Iraq Independence;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_IRQ_desc;We've had a good run, but it's time to end our rulership of Iraq.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_KHI_title;Grant Khiva Independence;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_KHI_desc;We've had a good run, but it's time to end our rulership of Khiva.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_NOG_title;Grant Nogai Independence;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_NOG_desc;We've had a good run, but it's time to end our rulership of Nogai.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_CIR_title;Grant Circassia Independence;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_CIR_desc;We've had a good run, but it's time to end our rulership of Circassia.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_DAG_title;Grant Dagestan Independence;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_DAG_desc;We've had a good run, but it's time to end our rulership of Dagestan.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_KOK_title;Grant Kokand Independence;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_KOK_desc;We've had a good run, but it's time to end our rulership of Kokand.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_NEJ_title;Grant Nejd Independence;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_NEJ_desc;We've had a good run, but it's time to end our rulership of Nejd.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_OMA_title;Grant Oman Independence;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_OMA_desc;We've had a good run, but it's time to end our rulership of Oman.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_YEM_title;Grant Yemen Independence;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_YEM_desc;We've had a good run, but it's time to end our rulership of Yemen.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_UZB_title;Grant Uzbekistan Independence;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_UZB_desc;We've had a good run, but it's time to end our rulership of Uzbekistan.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_TNT_title;Grant Tannu Tuva Independence;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_TNT_desc;We've had a good run, but it's time to end our rulership of Tannu Tuva.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_PER_title;Grant Persia Independence;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_PER_desc;We've had a good run, but it's time to end our rulership of Persia.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_QAJ_title;Grant Teheran Independence;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_QAJ_desc;We've had a good run, but it's time to end our rulership of Teheran.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gtfo_ZND_title;Grant Kerman Independence;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
